 
  Energy       1     6.0660129388E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     1.00000000     6.06294159
    6   ->     9     0.00001576    18.68549633
    2   ->     8     0.00001177    22.13179741
    5   ->     7     0.00000868     7.33076010
    3   ->    10     0.00000633    26.30053485
    4   ->    11     0.00000441    25.30112729
    6   ->    10     0.00000338    22.35245658
    3   ->     9     0.00000231    22.63357460
    1   ->    11     0.00000147    35.72137173
    3   ->    11     0.00000117    26.37074927
    6   ->    11     0.00000114    22.42267099
    1   ->     8     0.00000089    28.87274233
    4   ->     8     0.00000076    18.45249789
    3   ->     7     0.00000055    10.01101986
    6   ->     8     0.00000055    15.57404160
    4   ->     9     0.00000044    21.56395262
    4   ->    10     0.00000039    25.23091287
    5   ->     8     0.00000022    16.84186011
    1   ->    10     0.00000017    35.65115731
    2   ->    11     0.00000015    28.98042681
    1   ->     9     0.00000010    31.98419706
    3   ->    12     0.00000007    41.00814354
    4   ->    12     0.00000006    39.93852156
    3   ->     8     0.00000005    19.52211987
    2   ->    10     0.00000004    28.91021239
    6   ->    12     0.00000002    37.06006527
    2   ->     7     0.00000002    12.62069740
    2   ->     9     0.00000001    25.24325214
    4   ->     7     0.00000001     8.94139788
    1   ->    12     0.00000001    50.35876600
    2   ->    12     0.00000000    43.61782108
    5   ->     9     0.00000000    19.95331483
    5   ->    10     0.00000000    23.62027508
    1   ->     7     0.00000000    19.36164232
    5   ->    12     0.00000000    38.32788377
    5   ->    11     0.00000000    23.69048950
 
  Energy       2     8.8043848832E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.75886977     7.33076010
    4   ->     7     0.65119915     8.94139788
    6   ->     8     0.00556841    15.57404160
    1   ->    12     0.00385054    50.35876600
    4   ->    12     0.00282027    39.93852156
    2   ->    12     0.00109231    43.61782108
    4   ->     9     0.00080137    21.56395262
    3   ->    11     0.00076441    26.37074927
    2   ->    10     0.00022577    28.91021239
    4   ->    10     0.00018492    25.23091287
    3   ->    10     0.00017824    26.30053485
    1   ->    10     0.00005664    35.65115731
    6   ->    11     0.00005536    22.42267099
    5   ->    12     0.00005468    38.32788377
    2   ->     7     0.00004151    12.62069740
    6   ->    10     0.00003020    22.35245658
    2   ->     9     0.00002847    25.24325214
    3   ->     9     0.00002770    22.63357460
    5   ->    10     0.00002520    23.62027508
    1   ->    11     0.00001693    35.72137173
    5   ->    11     0.00001439    23.69048950
    4   ->     8     0.00001140    18.45249789
    4   ->    11     0.00000578    25.30112729
    6   ->     7     0.00000439     6.06294159
    2   ->     8     0.00000278    22.13179741
    5   ->     8     0.00000176    16.84186011
    3   ->     7     0.00000113    10.01101986
    1   ->     9     0.00000110    31.98419706
    1   ->     7     0.00000080    19.36164232
    3   ->     8     0.00000070    19.52211987
    2   ->    11     0.00000029    28.98042681
    5   ->     9     0.00000013    19.95331483
    6   ->    12     0.00000010    37.06006527
    6   ->     9     0.00000006    18.68549633
    3   ->    12     0.00000005    41.00814354
    1   ->     8     0.00000000    28.87274233
 
  Energy       3     9.0581034679E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.86925050     8.94139788
    5   ->     7     0.49432402     7.33076010
    6   ->     8     0.00510785    15.57404160
    1   ->    12     0.00353673    50.35876600
    4   ->    12     0.00263909    39.93852156
    2   ->    12     0.00103630    43.61782108
    3   ->    11     0.00059547    26.37074927
    4   ->     9     0.00052156    21.56395262
    3   ->    10     0.00016274    26.30053485
    2   ->    10     0.00012310    28.91021239
    4   ->    10     0.00011382    25.23091287
    1   ->    10     0.00009695    35.65115731
    2   ->     7     0.00005694    12.62069740
    3   ->     8     0.00005358    19.52211987
    5   ->    12     0.00005038    38.32788377
    3   ->     9     0.00002081    22.63357460
    5   ->    10     0.00002068    23.62027508
    4   ->    11     0.00001461    25.30112729
    6   ->    10     0.00001258    22.35245658
    5   ->    11     0.00001189    23.69048950
    3   ->     7     0.00000814    10.01101986
    1   ->    11     0.00000658    35.72137173
    6   ->     9     0.00000509    18.68549633
    6   ->     7     0.00000324     6.06294159
    1   ->     9     0.00000288    31.98419706
    2   ->     8     0.00000282    22.13179741
    2   ->     9     0.00000240    25.24325214
    6   ->    11     0.00000219    22.42267099
    2   ->    11     0.00000202    28.98042681
    5   ->     8     0.00000201    16.84186011
    4   ->     8     0.00000142    18.45249789
    5   ->     9     0.00000090    19.95331483
    1   ->     8     0.00000033    28.87274233
    1   ->     7     0.00000012    19.36164232
    3   ->    12     0.00000002    41.00814354
    6   ->    12     0.00000000    37.06006527
 
  Energy       4     1.0016934594E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     1.00000000    10.01101986
    4   ->     8     0.00003456    18.45249789
    3   ->    10     0.00003114    26.30053485
    6   ->     9     0.00002276    18.68549633
    6   ->    10     0.00001670    22.35245658
    2   ->    11     0.00001205    28.98042681
    1   ->     8     0.00001101    28.87274233
    2   ->     8     0.00000997    22.13179741
    3   ->    11     0.00000570    26.37074927
    5   ->     7     0.00000304     7.33076010
    1   ->    11     0.00000250    35.72137173
    6   ->    11     0.00000207    22.42267099
    4   ->     7     0.00000124     8.94139788
    2   ->     9     0.00000087    25.24325214
    2   ->    10     0.00000071    28.91021239
    3   ->     9     0.00000056    22.63357460
    4   ->    11     0.00000039    25.30112729
    3   ->    12     0.00000026    41.00814354
    1   ->     9     0.00000025    31.98419706
    6   ->     7     0.00000020     6.06294159
    2   ->     7     0.00000016    12.62069740
    1   ->    10     0.00000016    35.65115731
    6   ->    12     0.00000015    37.06006527
    5   ->    11     0.00000015    23.69048950
    4   ->     9     0.00000013    21.56395262
    1   ->    12     0.00000011    50.35876600
    6   ->     8     0.00000010    15.57404160
    5   ->     8     0.00000008    16.84186011
    3   ->     8     0.00000006    19.52211987
    4   ->    12     0.00000005    39.93852156
    4   ->    10     0.00000005    25.23091287
    5   ->     9     0.00000003    19.95331483
    5   ->    10     0.00000001    23.62027508
    1   ->     7     0.00000001    19.36164232
    5   ->    12     0.00000000    38.32788377
    2   ->    12     0.00000000    43.61782108
 
  Energy       5     1.2624224572E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999999    12.62069740
    6   ->     8     0.00011724    15.57404160
    3   ->     8     0.00003551    19.52211987
    5   ->     7     0.00002117     7.33076010
    2   ->    10     0.00000599    28.91021239
    1   ->    10     0.00000465    35.65115731
    6   ->    11     0.00000431    22.42267099
    3   ->    11     0.00000424    26.37074927
    2   ->    11     0.00000247    28.98042681
    4   ->    10     0.00000242    25.23091287
    4   ->    12     0.00000214    39.93852156
    4   ->    11     0.00000187    25.30112729
    1   ->    12     0.00000169    50.35876600
    4   ->     9     0.00000119    21.56395262
    2   ->    12     0.00000114    43.61782108
    4   ->     7     0.00000097     8.94139788
    1   ->    11     0.00000095    35.72137173
    2   ->     8     0.00000092    22.13179741
    3   ->     9     0.00000077    22.63357460
    1   ->     7     0.00000019    19.36164232
    4   ->     8     0.00000016    18.45249789
    6   ->     9     0.00000015    18.68549633
    3   ->     7     0.00000009    10.01101986
    2   ->     9     0.00000008    25.24325214
    1   ->     8     0.00000008    28.87274233
    1   ->     9     0.00000004    31.98419706
    5   ->    10     0.00000003    23.62027508
    6   ->    10     0.00000003    22.35245658
    5   ->    12     0.00000003    38.32788377
    5   ->     8     0.00000001    16.84186011
    3   ->    10     0.00000001    26.30053485
    3   ->    12     0.00000001    41.00814354
    5   ->    11     0.00000000    23.69048950
    5   ->     9     0.00000000    19.95331483
    6   ->    12     0.00000000    37.06006527
    6   ->     7     0.00000000     6.06294159
 
  Energy       6     1.6152297701E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99994224    15.57404160
    4   ->     9     0.01021671    21.56395262
    5   ->     7     0.00172805     7.33076010
    2   ->     9     0.00158896    25.24325214
    6   ->    11     0.00152270    22.42267099
    4   ->     8     0.00129813    18.45249789
    1   ->    12     0.00070179    50.35876600
    4   ->    12     0.00068925    39.93852156
    6   ->     9     0.00054129    18.68549633
    2   ->    12     0.00027277    43.61782108
    6   ->    10     0.00027197    22.35245658
    3   ->     8     0.00025935    19.52211987
    1   ->    10     0.00024206    35.65115731
    3   ->    11     0.00013508    26.37074927
    1   ->     9     0.00010354    31.98419706
    2   ->     8     0.00010182    22.13179741
    2   ->    10     0.00010136    28.91021239
    5   ->     9     0.00009297    19.95331483
    5   ->     8     0.00009211    16.84186011
    2   ->    11     0.00008134    28.98042681
    2   ->     7     0.00006885    12.62069740
    3   ->     9     0.00005412    22.63357460
    3   ->    10     0.00004429    26.30053485
    4   ->    11     0.00002125    25.30112729
    4   ->     7     0.00001663     8.94139788
    4   ->    10     0.00001502    25.23091287
    5   ->    12     0.00001155    38.32788377
    1   ->     8     0.00000800    28.87274233
    1   ->     7     0.00000496    19.36164232
    5   ->    11     0.00000302    23.69048950
    3   ->    12     0.00000234    41.00814354
    1   ->    11     0.00000222    35.72137173
