 
  Energy       1     3.7845405705E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99990292     3.70682440
    6   ->     7     0.01390280     3.48296367
    5   ->    11     0.00070205    20.37504234
    4   ->     8     0.00052668    17.32621227
    2   ->     8     0.00021469    21.40820029
    2   ->    10     0.00012136    25.82125297
    3   ->    11     0.00009722    23.28092691
    5   ->    12     0.00008223    22.49984964
    1   ->     8     0.00006444    26.91616949
    5   ->    10     0.00006212    19.50804926
    3   ->    12     0.00005551    25.40573420
    4   ->     7     0.00003489     5.93804008
    2   ->     9     0.00002116    22.34837113
    3   ->     9     0.00001640    18.94105199
    3   ->     7     0.00001613     6.61270896
    2   ->    11     0.00001207    26.68824605
    4   ->     9     0.00001190    18.26638311
    5   ->     8     0.00001087    15.09499659
    1   ->     9     0.00001024    27.85634033
    3   ->    10     0.00000926    22.41393383
    5   ->     9     0.00000693    16.03516742
    4   ->    10     0.00000594    21.73926494
    6   ->    11     0.00000489    20.15118162
    6   ->     9     0.00000389    15.81130670
    6   ->    10     0.00000270    19.28418853
    1   ->    10     0.00000266    31.32922216
    3   ->     8     0.00000213    18.00088115
    4   ->    12     0.00000048    24.73106532
    4   ->    11     0.00000027    22.60625802
    6   ->    12     0.00000024    22.27598891
    1   ->     7     0.00000024    15.52799730
    2   ->    12     0.00000014    28.81305334
    1   ->    12     0.00000011    34.32102254
    6   ->     8     0.00000009    14.87113586
    2   ->     7     0.00000006    10.02002810
    1   ->    11     0.00000000    32.19621524
 
  Energy       2     4.5496591400E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.98572698     3.48296367
    4   ->     7     0.16689258     5.93804008
    5   ->     7     0.01595687     3.70682440
    4   ->     9     0.01409780    18.26638311
    1   ->     9     0.00394431    27.85634033
    6   ->     9     0.00348639    15.81130670
    2   ->     9     0.00184942    22.34837113
    4   ->    10     0.00134627    21.73926494
    3   ->     7     0.00093066     6.61270896
    1   ->    10     0.00075227    31.32922216
    3   ->    10     0.00066090    22.41393383
    1   ->    12     0.00044610    34.32102254
    6   ->    12     0.00039493    22.27598891
    2   ->     7     0.00039225    10.02002810
    6   ->    10     0.00038565    19.28418853
    5   ->     8     0.00029553    15.09499659
    4   ->    12     0.00028966    24.73106532
    2   ->    10     0.00028626    25.82125297
    4   ->    11     0.00019680    22.60625802
    1   ->     7     0.00014951    15.52799730
    1   ->    11     0.00013941    32.19621524
    5   ->     9     0.00006524    16.03516742
    4   ->     8     0.00006345    17.32621227
    3   ->     8     0.00005714    18.00088115
    3   ->    12     0.00005204    25.40573420
    3   ->    11     0.00004396    23.28092691
    6   ->    11     0.00004059    20.15118162
    2   ->    11     0.00003364    26.68824605
    5   ->    10     0.00003175    19.50804926
    5   ->    11     0.00001584    20.37504234
    1   ->     8     0.00001164    26.91616949
    2   ->    12     0.00000851    28.81305334
    3   ->     9     0.00000365    18.94105199
    5   ->    12     0.00000185    22.49984964
    6   ->     8     0.00000098    14.87113586
    2   ->     8     0.00000003    21.40820029
 
  Energy       3     6.3375401173E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99820641     5.93804008
    6   ->     7     0.05344270     3.48296367
    3   ->     7     0.02494308     6.61270896
    4   ->     9     0.00938375    18.26638311
    1   ->     9     0.00246684    27.85634033
    6   ->     9     0.00241932    15.81130670
    5   ->     8     0.00151841    15.09499659
    4   ->    10     0.00111682    21.73926494
    2   ->     9     0.00104052    22.34837113
    5   ->     7     0.00066474     3.70682440
    1   ->    10     0.00039356    31.32922216
    3   ->    10     0.00028896    22.41393383
    4   ->    12     0.00027700    24.73106532
    6   ->    10     0.00027386    19.28418853
    6   ->    12     0.00024224    22.27598891
    2   ->    11     0.00022804    26.68824605
    1   ->    12     0.00021101    34.32102254
    1   ->    11     0.00013552    32.19621524
    2   ->    10     0.00011507    25.82125297
    2   ->     7     0.00010418    10.02002810
    5   ->     9     0.00009612    16.03516742
    1   ->     7     0.00006951    15.52799730
    6   ->    11     0.00003046    20.15118162
    4   ->     8     0.00002701    17.32621227
    3   ->     9     0.00002167    18.94105199
    5   ->    11     0.00002024    20.37504234
    3   ->    12     0.00001560    25.40573420
    5   ->    10     0.00000604    19.50804926
    1   ->     8     0.00000599    26.91616949
    3   ->    11     0.00000480    23.28092691
    2   ->     8     0.00000389    21.40820029
    6   ->     8     0.00000369    14.87113586
    3   ->     8     0.00000346    18.00088115
    2   ->    12     0.00000243    28.81305334
    5   ->    12     0.00000111    22.49984964
    4   ->    11     0.00000105    22.60625802
 
  Energy       4     6.6468453691E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99988410     6.61270896
    4   ->     7     0.01507949     5.93804008
    6   ->     7     0.00197648     3.48296367
    4   ->     9     0.00065091    18.26638311
    3   ->    12     0.00013057    25.40573420
    6   ->     9     0.00009926    15.81130670
    1   ->    10     0.00009368    31.32922216
    5   ->     8     0.00008956    15.09499659
    2   ->     9     0.00007346    22.34837113
    5   ->    11     0.00007343    20.37504234
    1   ->     9     0.00006332    27.85634033
    2   ->     8     0.00005856    21.40820029
    5   ->     9     0.00002140    16.03516742
    6   ->    10     0.00002136    19.28418853
    5   ->    12     0.00002007    22.49984964
    2   ->    11     0.00001868    26.68824605
    6   ->    12     0.00001334    22.27598891
    1   ->    11     0.00001274    32.19621524
    1   ->     8     0.00001124    26.91616949
    4   ->    12     0.00000987    24.73106532
    5   ->     7     0.00000863     3.70682440
    2   ->     7     0.00000801    10.02002810
    1   ->    12     0.00000746    34.32102254
    5   ->    10     0.00000494    19.50804926
    4   ->    11     0.00000316    22.60625802
    2   ->    12     0.00000274    28.81305334
    4   ->     8     0.00000264    17.32621227
    4   ->    10     0.00000183    21.73926494
    1   ->     7     0.00000172    15.52799730
    3   ->    10     0.00000095    22.41393383
    6   ->     8     0.00000091    14.87113586
    2   ->    10     0.00000085    25.82125297
    3   ->    11     0.00000051    23.28092691
    6   ->    11     0.00000013    20.15118162
    3   ->     8     0.00000011    18.00088115
    3   ->     9     0.00000003    18.94105199
 
  Energy       5     1.0067223408E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999967    10.02002810
    5   ->     8     0.00064948    15.09499659
    3   ->     8     0.00033590    18.00088115
    5   ->    10     0.00022420    19.50804926
    4   ->    11     0.00019518    22.60625802
    2   ->    11     0.00010906    26.68824605
    5   ->     9     0.00007882    16.03516742
    4   ->     9     0.00007002    18.26638311
    6   ->     9     0.00006151    15.81130670
    2   ->    12     0.00005708    28.81305334
    6   ->     7     0.00005271     3.48296367
    1   ->     9     0.00004075    27.85634033
    3   ->    10     0.00003340    22.41393383
    2   ->     9     0.00002688    22.34837113
    4   ->    12     0.00002605    24.73106532
    1   ->    10     0.00002345    31.32922216
    3   ->     9     0.00001921    18.94105199
    5   ->    11     0.00001645    20.37504234
    1   ->    12     0.00001342    34.32102254
    6   ->     8     0.00001046    14.87113586
    4   ->     7     0.00001015     5.93804008
    3   ->    11     0.00000785    23.28092691
    4   ->     8     0.00000784    17.32621227
    1   ->    11     0.00000669    32.19621524
    3   ->    12     0.00000555    25.40573420
    2   ->    10     0.00000323    25.82125297
    2   ->     8     0.00000174    21.40820029
    4   ->    10     0.00000147    21.73926494
    5   ->     7     0.00000103     3.70682440
    6   ->    10     0.00000082    19.28418853
    3   ->     7     0.00000064     6.61270896
    1   ->     7     0.00000045    15.52799730
    6   ->    11     0.00000042    20.15118162
    1   ->     8     0.00000012    26.91616949
    6   ->    12     0.00000002    22.27598891
    5   ->    12     0.00000000    22.49984964
 
  Energy       6     1.4875856488E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99998447    14.87113586
    5   ->     8     0.00557367    15.09499659
    4   ->     9     0.00003717    18.26638311
    3   ->    12     0.00002970    25.40573420
    2   ->     8     0.00001523    21.40820029
    4   ->    10     0.00001101    21.73926494
    5   ->    10     0.00001054    19.50804926
    1   ->    10     0.00000726    31.32922216
    5   ->    12     0.00000725    22.49984964
    5   ->    11     0.00000601    20.37504234
    2   ->     9     0.00000464    22.34837113
    3   ->     9     0.00000437    18.94105199
    5   ->     9     0.00000434    16.03516742
    1   ->     7     0.00000386    15.52799730
    6   ->     9     0.00000366    15.81130670
    1   ->     8     0.00000272    26.91616949
    2   ->    11     0.00000230    26.68824605
    4   ->     8     0.00000210    17.32621227
    4   ->    11     0.00000188    22.60625802
    2   ->    10     0.00000156    25.82125297
    3   ->     8     0.00000149    18.00088115
    6   ->    10     0.00000108    19.28418853
    2   ->     7     0.00000068    10.02002810
    3   ->    11     0.00000047    23.28092691
    2   ->    12     0.00000043    28.81305334
    4   ->    12     0.00000041    24.73106532
    1   ->     9     0.00000036    27.85634033
    3   ->     7     0.00000033     6.61270896
    6   ->    12     0.00000029    22.27598891
    3   ->    10     0.00000016    22.41393383
    6   ->     7     0.00000014     3.48296367
    1   ->    12     0.00000014    34.32102254
