 
  Energy       1     6.9108763393E-01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99999939     0.66427247
    4   ->     7     0.00105690     4.59526348
    3   ->     8     0.00019612    15.65434239
    5   ->     7     0.00015737     4.43739320
    3   ->     7     0.00011279     4.68169348
    5   ->     8     0.00010432    15.41004211
    1   ->     8     0.00004734    24.84836437
    6   ->     9     0.00003640    15.14559023
    4   ->    12     0.00003624    25.38060485
    5   ->    10     0.00003167    19.64558716
    4   ->     9     0.00003144    19.07658123
    4   ->     8     0.00002995    15.56791240
    3   ->     9     0.00002920    19.16301123
    2   ->     8     0.00002873    20.27333874
    1   ->    11     0.00002835    29.82907532
    6   ->    11     0.00002707    16.61763233
    3   ->    12     0.00001153    25.46703485
    3   ->    11     0.00001076    20.63505334
    1   ->    12     0.00000924    34.66105683
    2   ->    11     0.00000841    25.25404968
    4   ->    11     0.00000798    20.54862334
    5   ->    11     0.00000793    20.39075305
    1   ->    10     0.00000607    29.08390942
    2   ->     9     0.00000552    23.78200758
    6   ->    12     0.00000494    21.44961384
    1   ->     7     0.00000420    13.87571546
    1   ->     9     0.00000416    28.35703321
    6   ->     8     0.00000362    11.63692139
    2   ->    12     0.00000218    30.08603120
    6   ->    10     0.00000165    15.87246644
    2   ->     7     0.00000103     9.30068983
    2   ->    10     0.00000093    24.50888379
    4   ->    10     0.00000057    19.80345745
    5   ->    12     0.00000056    25.22273457
    5   ->     9     0.00000028    18.91871095
    3   ->    10     0.00000010    19.88988744
 
  Energy       2     4.4886137823E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.98798018     4.43739320
    4   ->     7     0.15453135     4.59526348
    3   ->     7     0.00388637     4.68169348
    5   ->    10     0.00024903    19.64558716
    5   ->     8     0.00018087    15.41004211
    3   ->     8     0.00009980    15.65434239
    2   ->    10     0.00009076    24.50888379
    6   ->    10     0.00005889    15.87246644
    5   ->    11     0.00004850    20.39075305
    2   ->     9     0.00004539    23.78200758
    3   ->     9     0.00004228    19.16301123
    4   ->    10     0.00002780    19.80345745
    4   ->    11     0.00002356    20.54862334
    1   ->     8     0.00002316    24.84836437
    3   ->    11     0.00001385    20.63505334
    6   ->    11     0.00001323    16.61763233
    1   ->     9     0.00001267    28.35703321
    4   ->     9     0.00001107    19.07658123
    2   ->     8     0.00001075    20.27333874
    3   ->    10     0.00001022    19.88988744
    1   ->    10     0.00000889    29.08390942
    1   ->    12     0.00000740    34.66105683
    4   ->    12     0.00000693    25.38060485
    3   ->    12     0.00000594    25.46703485
    6   ->    12     0.00000371    21.44961384
    1   ->     7     0.00000251    13.87571546
    5   ->     9     0.00000245    18.91871095
    2   ->    11     0.00000215    25.25404968
    4   ->     8     0.00000180    15.56791240
    6   ->     8     0.00000146    11.63692139
    2   ->     7     0.00000065     9.30068983
    1   ->    11     0.00000039    29.82907532
    6   ->     9     0.00000015    15.14559023
    5   ->    12     0.00000006    25.22273457
    2   ->    12     0.00000004    30.08603120
    6   ->     7     0.00000001     0.66427247
 
  Energy       3     4.6959064115E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99508932     4.68169348
    4   ->     7     0.09891186     4.59526348
    5   ->     7     0.00369531     4.43739320
    3   ->    11     0.00011469    20.63505334
    6   ->     9     0.00006576    15.14559023
    4   ->    12     0.00005319    25.38060485
    2   ->     9     0.00003894    23.78200758
    3   ->     9     0.00003365    19.16301123
    1   ->     8     0.00002824    24.84836437
    3   ->    12     0.00002772    25.46703485
    5   ->     9     0.00002352    18.91871095
    1   ->    11     0.00002333    29.82907532
    4   ->     9     0.00001777    19.07658123
    2   ->     7     0.00001547     9.30068983
    5   ->     8     0.00001521    15.41004211
    2   ->    10     0.00001192    24.50888379
    1   ->     7     0.00001190    13.87571546
    2   ->    11     0.00001166    25.25404968
    4   ->    10     0.00001089    19.80345745
    2   ->    12     0.00000891    30.08603120
    6   ->     8     0.00000811    11.63692139
    1   ->    12     0.00000658    34.66105683
    6   ->    12     0.00000650    21.44961384
    3   ->    10     0.00000554    19.88988744
    5   ->    10     0.00000525    19.64558716
    3   ->     8     0.00000476    15.65434239
    6   ->    10     0.00000389    15.87246644
    6   ->    11     0.00000316    16.61763233
    4   ->     8     0.00000193    15.56791240
    5   ->    12     0.00000184    25.22273457
    4   ->    11     0.00000152    20.54862334
    1   ->    10     0.00000028    29.08390942
    2   ->     8     0.00000004    20.27333874
    1   ->     9     0.00000004    28.35703321
    5   ->    11     0.00000002    20.39075305
    6   ->     7     0.00000001     0.66427247
 
  Energy       4     5.2398975252E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.98014657     4.59526348
    5   ->     7     0.15816983     4.43739320
    3   ->     7     0.11832546     4.68169348
    3   ->     8     0.01502621    15.65434239
    5   ->     8     0.00680640    15.41004211
    1   ->     8     0.00425149    24.84836437
    6   ->     9     0.00113766    15.14559023
    6   ->     8     0.00098471    11.63692139
    6   ->    10     0.00067662    15.87246644
    2   ->     8     0.00043486    20.27333874
    2   ->     7     0.00042111     9.30068983
    3   ->    11     0.00037651    20.63505334
    4   ->     8     0.00034556    15.56791240
    5   ->    11     0.00033862    20.39075305
    1   ->    10     0.00031210    29.08390942
    5   ->    12     0.00026279    25.22273457
    3   ->    12     0.00025485    25.46703485
    1   ->    11     0.00023904    29.82907532
    3   ->    10     0.00020541    19.88988744
    5   ->     9     0.00014100    18.91871095
    1   ->     9     0.00013251    28.35703321
    4   ->    10     0.00012815    19.80345745
    5   ->    10     0.00011826    19.64558716
    4   ->     9     0.00010683    19.07658123
    4   ->    11     0.00009863    20.54862334
    6   ->    11     0.00007925    16.61763233
    2   ->    12     0.00007583    30.08603120
    2   ->    11     0.00003628    25.25404968
    6   ->     7     0.00003333     0.66427247
    4   ->    12     0.00002815    25.38060485
    2   ->    10     0.00002203    24.50888379
    2   ->     9     0.00001598    23.78200758
    1   ->     7     0.00001259    13.87571546
    3   ->     9     0.00000943    19.16301123
    6   ->    12     0.00000657    21.44961384
    1   ->    12     0.00000645    34.66105683
 
  Energy       5     9.3317933125E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999995     9.30068983
    6   ->     8     0.00020407    11.63692139
    5   ->    10     0.00009784    19.64558716
    4   ->    12     0.00009150    25.38060485
    3   ->     8     0.00007529    15.65434239
    2   ->    11     0.00007221    25.25404968
    4   ->     9     0.00006786    19.07658123
    1   ->     8     0.00006259    24.84836437
    4   ->     7     0.00006158     4.59526348
    3   ->    10     0.00003710    19.88988744
    3   ->    11     0.00003098    20.63505334
    6   ->    11     0.00002917    16.61763233
    1   ->     7     0.00002873    13.87571546
    3   ->     9     0.00002756    19.16301123
    5   ->    12     0.00002748    25.22273457
    5   ->     9     0.00002266    18.91871095
    2   ->    10     0.00001844    24.50888379
    3   ->    12     0.00001704    25.46703485
    1   ->    11     0.00001537    29.82907532
    1   ->     9     0.00001494    28.35703321
    5   ->     7     0.00001156     4.43739320
    5   ->    11     0.00001031    20.39075305
    4   ->    11     0.00000665    20.54862334
    4   ->    10     0.00000649    19.80345745
    1   ->    10     0.00000472    29.08390942
    6   ->    10     0.00000330    15.87246644
    4   ->     8     0.00000130    15.56791240
    2   ->     8     0.00000102    20.27333874
    3   ->     7     0.00000067     4.68169348
    2   ->     9     0.00000015    23.78200758
    1   ->    12     0.00000014    34.66105683
    6   ->    12     0.00000012    21.44961384
    6   ->     9     0.00000005    15.14559023
    5   ->     8     0.00000005    15.41004211
    2   ->    12     0.00000002    30.08603120
    6   ->     7     0.00000000     0.66427247
 
  Energy       6     1.1673308041E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99999932    11.63692139
    3   ->     8     0.00108528    15.65434239
    5   ->     8     0.00024030    15.41004211
    1   ->     8     0.00020266    24.84836437
    5   ->    10     0.00019630    19.64558716
    2   ->     7     0.00011593     9.30068983
    4   ->     7     0.00007030     4.59526348
    3   ->    11     0.00006937    20.63505334
    6   ->     9     0.00006648    15.14559023
    3   ->    10     0.00005627    19.88988744
    4   ->     8     0.00005487    15.56791240
    2   ->    11     0.00005346    25.25404968
    4   ->    12     0.00004675    25.38060485
    1   ->     7     0.00004632    13.87571546
    4   ->     9     0.00004552    19.07658123
    5   ->     9     0.00004211    18.91871095
    5   ->    12     0.00003186    25.22273457
    2   ->     8     0.00002574    20.27333874
    2   ->    10     0.00001973    24.50888379
    5   ->     7     0.00001320     4.43739320
    1   ->     9     0.00001221    28.35703321
    5   ->    11     0.00000979    20.39075305
    3   ->     9     0.00000809    19.16301123
    6   ->    11     0.00000518    16.61763233
    4   ->    10     0.00000497    19.80345745
    3   ->     7     0.00000351     4.68169348
    4   ->    11     0.00000341    20.54862334
    3   ->    12     0.00000251    25.46703485
    6   ->    10     0.00000117    15.87246644
    1   ->    12     0.00000084    34.66105683
    6   ->    12     0.00000068    21.44961384
    1   ->    11     0.00000043    29.82907532
