 
  Energy       1     6.6336272039E-01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99999452     0.61385176
    3   ->     7     0.00330175     5.31146133
    4   ->     8     0.00014883    19.98130414
    4   ->    11     0.00014070    22.66504211
    1   ->    10     0.00006881    30.73316501
    5   ->    11     0.00005789    22.32218340
    5   ->     9     0.00005744    19.96681718
    6   ->    10     0.00004957    16.72744517
    1   ->    12     0.00004196    35.57416732
    1   ->     8     0.00003684    29.44151408
    4   ->    10     0.00003622    21.27295507
    5   ->     8     0.00003558    19.63844543
    1   ->    11     0.00003490    32.12525205
    4   ->     9     0.00003032    20.30967589
    3   ->     8     0.00002919    20.13340380
    2   ->    11     0.00002883    26.90556356
    6   ->     8     0.00002532    15.43579424
    3   ->    12     0.00002095    26.26605705
    5   ->     7     0.00002071     4.81650295
    2   ->    10     0.00001668    25.51347653
    2   ->     7     0.00001555     9.39988312
    6   ->    12     0.00001076    21.56844749
    3   ->    10     0.00001033    21.42505474
    2   ->     8     0.00000772    24.22182559
    5   ->    12     0.00000725    25.77109867
    4   ->    12     0.00000703    26.11395738
    4   ->     7     0.00000649     5.15936166
    6   ->     9     0.00000459    15.76416599
    5   ->    10     0.00000348    20.93009636
    3   ->    11     0.00000152    22.81714178
    6   ->    11     0.00000112    18.11953221
    1   ->     9     0.00000103    29.76988583
    1   ->     7     0.00000059    14.61957160
    2   ->    12     0.00000053    30.35447884
    2   ->     9     0.00000025    24.55019734
    3   ->     9     0.00000001    20.46177555
 
  Energy       2     4.8416973206E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99996845     4.81650295
    3   ->     7     0.00794072     5.31146133
    5   ->     9     0.00012397    19.96681718
    6   ->     9     0.00008431    15.76416599
    2   ->     8     0.00007227    24.22182559
    4   ->     9     0.00005645    20.30967589
    5   ->    10     0.00003935    20.93009636
    4   ->    10     0.00002575    21.27295507
    3   ->    10     0.00002426    21.42505474
    6   ->    11     0.00001676    18.11953221
    4   ->    11     0.00001228    22.66504211
    1   ->     8     0.00001204    29.44151408
    1   ->    11     0.00001178    32.12525205
    4   ->    12     0.00001169    26.11395738
    5   ->     8     0.00001104    19.63844543
    2   ->     7     0.00000796     9.39988312
    3   ->    12     0.00000752    26.26605705
    5   ->    12     0.00000441    25.77109867
    2   ->    10     0.00000392    25.51347653
    1   ->     9     0.00000374    29.76988583
    2   ->     9     0.00000333    24.55019734
    5   ->    11     0.00000332    22.32218340
    2   ->    11     0.00000231    26.90556356
    1   ->    12     0.00000208    35.57416732
    1   ->     7     0.00000195    14.61957160
    2   ->    12     0.00000146    30.35447884
    3   ->     9     0.00000111    20.46177555
    6   ->     8     0.00000108    15.43579424
    4   ->     7     0.00000084     5.15936166
    3   ->    11     0.00000060    22.81714178
    6   ->    12     0.00000050    21.56844749
    6   ->    10     0.00000037    16.72744517
    1   ->    10     0.00000036    30.73316501
    3   ->     8     0.00000012    20.13340380
    4   ->     8     0.00000003    19.98130414
    6   ->     7     0.00000000     0.61385176
 
  Energy       3     5.1917702550E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99999591     5.15936166
    3   ->     7     0.00285416     5.31146133
    4   ->    11     0.00008707    22.66504211
    3   ->    12     0.00006950    26.26605705
    6   ->     9     0.00006776    15.76416599
    5   ->     9     0.00006769    19.96681718
    2   ->     9     0.00006378    24.55019734
    4   ->     8     0.00005035    19.98130414
    4   ->     9     0.00003413    20.30967589
    1   ->    11     0.00002945    32.12525205
    3   ->    11     0.00002744    22.81714178
    5   ->     7     0.00002630     4.81650295
    4   ->    12     0.00001933    26.11395738
    1   ->     7     0.00001705    14.61957160
    2   ->     7     0.00001500     9.39988312
    2   ->    12     0.00001399    30.35447884
    2   ->    11     0.00001392    26.90556356
    1   ->     8     0.00001111    29.44151408
    2   ->    10     0.00000974    25.51347653
    3   ->     9     0.00000901    20.46177555
    5   ->    12     0.00000747    25.77109867
    6   ->    12     0.00000713    21.56844749
    1   ->    12     0.00000519    35.57416732
    6   ->    10     0.00000376    16.72744517
    5   ->     8     0.00000281    19.63844543
    1   ->    10     0.00000269    30.73316501
    6   ->    11     0.00000238    18.11953221
    5   ->    10     0.00000182    20.93009636
    3   ->     8     0.00000152    20.13340380
    6   ->     8     0.00000145    15.43579424
    3   ->    10     0.00000119    21.42505474
    5   ->    11     0.00000042    22.32218340
    4   ->    10     0.00000028    21.27295507
    2   ->     8     0.00000014    24.22182559
    1   ->     9     0.00000010    29.76988583
    6   ->     7     0.00000000     0.61385176
 
  Energy       4     6.0436504502E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99996249     5.31146133
    5   ->     7     0.00649689     4.81650295
    4   ->     8     0.00317445    19.98130414
    4   ->     7     0.00274344     5.15936166
    4   ->    11     0.00206857    22.66504211
    1   ->    10     0.00142852    30.73316501
    4   ->    10     0.00137305    21.27295507
    1   ->    11     0.00132584    32.12525205
    4   ->    12     0.00105197    26.11395738
    1   ->     8     0.00102298    29.44151408
    6   ->    10     0.00101223    16.72744517
    6   ->     8     0.00075468    15.43579424
    5   ->    10     0.00052648    20.93009636
    5   ->    11     0.00051175    22.32218340
    5   ->    12     0.00041092    25.77109867
    5   ->     8     0.00040848    19.63844543
    6   ->    11     0.00036795    18.11953221
    2   ->     7     0.00036147     9.39988312
    3   ->    11     0.00032728    22.81714178
    3   ->    12     0.00026895    26.26605705
    1   ->    12     0.00022717    35.57416732
    2   ->    12     0.00021411    30.35447884
    2   ->    11     0.00014715    26.90556356
    6   ->     9     0.00013386    15.76416599
    2   ->     8     0.00009067    24.22182559
    3   ->     9     0.00008203    20.46177555
    3   ->     8     0.00008154    20.13340380
    6   ->    12     0.00006669    21.56844749
    5   ->     9     0.00005657    19.96681718
    2   ->    10     0.00004758    25.51347653
    6   ->     7     0.00004364     0.61385176
    3   ->    10     0.00002546    21.42505474
    2   ->     9     0.00000390    24.55019734
    1   ->     7     0.00000345    14.61957160
    4   ->     9     0.00000248    20.30967589
    1   ->     9     0.00000039    29.76988583
 
  Energy       5     9.4421688378E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999995     9.39988312
    3   ->    12     0.00021412    26.26605705
    3   ->     7     0.00011469     5.31146133
    4   ->     9     0.00011258    20.30967589
    3   ->    10     0.00008714    21.42505474
    2   ->    11     0.00006571    26.90556356
    5   ->     8     0.00005493    19.63844543
    1   ->     7     0.00005409    14.61957160
    4   ->    11     0.00004832    22.66504211
    1   ->    10     0.00004479    30.73316501
    6   ->     8     0.00004323    15.43579424
    2   ->    10     0.00003415    25.51347653
    1   ->     9     0.00002403    29.76988583
    5   ->    10     0.00002293    20.93009636
    1   ->     8     0.00002253    29.44151408
    3   ->     9     0.00002090    20.46177555
    5   ->    11     0.00001909    22.32218340
    6   ->    11     0.00001435    18.11953221
    2   ->     9     0.00001298    24.55019734
    1   ->    11     0.00000807    32.12525205
    2   ->     8     0.00000731    24.22182559
    5   ->     9     0.00000684    19.96681718
    4   ->     8     0.00000623    19.98130414
    6   ->     9     0.00000531    15.76416599
    6   ->    10     0.00000397    16.72744517
    4   ->    12     0.00000348    26.11395738
    2   ->    12     0.00000278    30.35447884
    4   ->     7     0.00000240     5.15936166
    4   ->    10     0.00000230    21.27295507
    3   ->     8     0.00000225    20.13340380
    5   ->    12     0.00000077    25.77109867
    5   ->     7     0.00000028     4.81650295
    1   ->    12     0.00000023    35.57416732
    6   ->     7     0.00000010     0.61385176
    3   ->    11     0.00000004    22.81714178
    6   ->    12     0.00000000    21.56844749
 
  Energy       6     1.4655701664E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    1   ->     7     0.99999987    14.61957160
    3   ->    12     0.00031704    26.26605705
    3   ->    10     0.00025011    21.42505474
    6   ->     8     0.00016897    15.43579424
    6   ->     9     0.00016831    15.76416599
    4   ->    11     0.00008084    22.66504211
    6   ->    11     0.00006818    18.11953221
    4   ->     8     0.00006760    19.98130414
    6   ->    10     0.00006682    16.72744517
    1   ->    11     0.00004968    32.12525205
    2   ->    11     0.00004757    26.90556356
    2   ->    10     0.00004591    25.51347653
    1   ->    10     0.00003065    30.73316501
    2   ->     9     0.00003024    24.55019734
    4   ->    10     0.00002907    21.27295507
    2   ->     8     0.00002508    24.22182559
    2   ->     7     0.00001928     9.39988312
    4   ->    12     0.00001890    26.11395738
    3   ->     8     0.00001229    20.13340380
    1   ->     8     0.00001133    29.44151408
    1   ->     9     0.00000828    29.76988583
    3   ->     9     0.00000796    20.46177555
    5   ->    10     0.00000732    20.93009636
    5   ->     9     0.00000696    19.96681718
    5   ->    12     0.00000668    25.77109867
    5   ->    11     0.00000651    22.32218340
    4   ->     9     0.00000580    20.30967589
    1   ->    12     0.00000320    35.57416732
    3   ->    11     0.00000174    22.81714178
    4   ->     7     0.00000164     5.15936166
    3   ->     7     0.00000088     5.31146133
    6   ->    12     0.00000054    21.56844749
