 
  Energy       1     6.5112639912E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99999967     6.50488837
    6   ->     7     0.00080234     5.83565370
    4   ->     8     0.00005931    16.10235697
    5   ->     9     0.00003919    18.99434848
    5   ->    10     0.00003734    20.47197098
    3   ->     9     0.00003376    21.06763232
    2   ->    11     0.00001838    28.53123329
    1   ->     8     0.00001790    23.90877078
    3   ->    10     0.00001242    22.54525483
    5   ->     8     0.00000934    14.66435445
    3   ->    11     0.00000233    25.53723213
    2   ->    10     0.00000202    25.53925598
    2   ->     9     0.00000194    24.06163348
    4   ->    12     0.00000127    35.14363841
    4   ->    10     0.00000107    21.90997351
    4   ->     9     0.00000105    20.43235100
    1   ->    12     0.00000092    42.95005222
    4   ->     7     0.00000088     7.94289090
    2   ->     8     0.00000060    19.73163945
    3   ->     7     0.00000044     8.57817222
    1   ->     9     0.00000038    28.23876481
    3   ->     8     0.00000037    16.73763830
    1   ->    10     0.00000033    29.71638732
    2   ->    12     0.00000010    38.77292089
    1   ->    11     0.00000005    32.70836462
    5   ->    11     0.00000002    23.46394829
    5   ->    12     0.00000002    33.70563588
    1   ->     7     0.00000001    15.74930471
    6   ->    12     0.00000001    33.03640121
    3   ->    12     0.00000001    35.77891973
    2   ->     7     0.00000001    11.57217338
    6   ->    11     0.00000000    22.79471361
    6   ->     9     0.00000000    18.32511380
    6   ->    10     0.00000000    19.80273631
    6   ->     8     0.00000000    13.99511978
    4   ->    11     0.00000000    24.90195081
 
  Energy       2     7.3064967002E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99714911     5.83565370
    4   ->     7     0.07420275     7.94289090
    5   ->     8     0.00888460    14.66435445
    4   ->    12     0.00743870    35.14363841
    1   ->    12     0.00718183    42.95005222
    5   ->     7     0.00100300     6.50488837
    4   ->    10     0.00048274    21.90997351
    4   ->     9     0.00041295    20.43235100
    3   ->    11     0.00035553    25.53723213
    4   ->    11     0.00028621    24.90195081
    4   ->     8     0.00023999    16.10235697
    5   ->     9     0.00011409    18.99434848
    5   ->    10     0.00011180    20.47197098
    6   ->     8     0.00010547    13.99511978
    3   ->    10     0.00009826    22.54525483
    6   ->     9     0.00008341    18.32511380
    1   ->    11     0.00008075    32.70836462
    6   ->    12     0.00007966    33.03640121
    6   ->    10     0.00006500    19.80273631
    3   ->     9     0.00005238    21.06763232
    2   ->    10     0.00004755    25.53925598
    2   ->     9     0.00004212    24.06163348
    2   ->    11     0.00002058    28.53123329
    1   ->     8     0.00001781    23.90877078
    5   ->    11     0.00001193    23.46394829
    3   ->    12     0.00000902    35.77891973
    1   ->     7     0.00000734    15.74930471
    1   ->    10     0.00000705    29.71638732
    6   ->    11     0.00000413    22.79471361
    1   ->     9     0.00000292    28.23876481
    3   ->     7     0.00000259     8.57817222
    3   ->     8     0.00000180    16.73763830
    2   ->     8     0.00000112    19.73163945
    2   ->    12     0.00000078    38.77292089
    5   ->    12     0.00000068    33.70563588
    2   ->     7     0.00000002    11.57217338
 
  Energy       3     7.9953875831E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99923159     7.94289090
    6   ->     7     0.03916061     5.83565370
    5   ->     8     0.00130438    14.66435445
    4   ->    12     0.00071170    35.14363841
    1   ->    12     0.00068102    42.95005222
    4   ->    10     0.00006582    21.90997351
    4   ->     9     0.00006554    20.43235100
    4   ->     8     0.00004102    16.10235697
    5   ->     7     0.00002962     6.50488837
    4   ->    11     0.00002779    24.90195081
    3   ->    11     0.00001920    25.53723213
    2   ->     9     0.00001645    24.06163348
    5   ->    10     0.00001233    20.47197098
    6   ->     8     0.00001210    13.99511978
    5   ->     9     0.00001110    18.99434848
    2   ->    10     0.00000979    25.53925598
    6   ->     9     0.00000845    18.32511380
    1   ->    11     0.00000782    32.70836462
    6   ->    12     0.00000762    33.03640121
    6   ->    10     0.00000658    19.80273631
    3   ->    10     0.00000502    22.54525483
    2   ->    11     0.00000325    28.53123329
    1   ->    10     0.00000251    29.71638732
    1   ->     9     0.00000226    28.23876481
    3   ->     7     0.00000219     8.57817222
    3   ->     9     0.00000176    21.06763232
    3   ->    12     0.00000066    35.77891973
    5   ->    11     0.00000051    23.46394829
    2   ->     8     0.00000050    19.73163945
    1   ->     8     0.00000045    23.90877078
    1   ->     7     0.00000042    15.74930471
    6   ->    11     0.00000042    22.79471361
    3   ->     8     0.00000029    16.73763830
    5   ->    12     0.00000009    33.70563588
    2   ->    12     0.00000006    38.77292089
    2   ->     7     0.00000003    11.57217338
 
  Energy       4     8.5817850380E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     1.00000000     8.57817222
    5   ->     9     0.00002909    18.99434848
    2   ->     8     0.00002818    19.73163945
    3   ->     9     0.00001212    21.06763232
    3   ->     8     0.00000821    16.73763830
    3   ->    10     0.00000752    22.54525483
    5   ->    10     0.00000747    20.47197098
    4   ->    11     0.00000547    24.90195081
    1   ->    11     0.00000225    32.70836462
    4   ->     9     0.00000168    20.43235100
    4   ->     8     0.00000160    16.10235697
    6   ->     7     0.00000152     5.83565370
    4   ->    10     0.00000137    21.90997351
    5   ->     8     0.00000122    14.66435445
    5   ->    11     0.00000105    23.46394829
    4   ->     7     0.00000101     7.94289090
    1   ->    10     0.00000053    29.71638732
    1   ->     9     0.00000043    28.23876481
    1   ->     8     0.00000027    23.90877078
    5   ->     7     0.00000027     6.50488837
    2   ->    10     0.00000020    25.53925598
    2   ->     7     0.00000013    11.57217338
    1   ->    12     0.00000012    42.95005222
    2   ->    11     0.00000009    28.53123329
    2   ->     9     0.00000001    24.06163348
    6   ->     9     0.00000001    18.32511380
    2   ->    12     0.00000001    38.77292089
    5   ->    12     0.00000001    33.70563588
    3   ->    12     0.00000000    35.77891973
    4   ->    12     0.00000000    35.14363841
    6   ->    12     0.00000000    33.03640121
    1   ->     7     0.00000000    15.74930471
    6   ->    10     0.00000000    19.80273631
    6   ->    11     0.00000000    22.79471361
    3   ->    11     0.00000000    25.53723213
    6   ->     8     0.00000000    13.99511978
 
  Energy       5     1.1575962664E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     0.99999999    11.57217338
    3   ->     8     0.00010246    16.73763830
    5   ->    11     0.00001975    23.46394829
    4   ->     9     0.00001683    20.43235100
    2   ->    10     0.00001164    25.53925598
    2   ->     9     0.00001106    24.06163348
    4   ->    10     0.00000661    21.90997351
    5   ->     9     0.00000567    18.99434848
    2   ->     8     0.00000465    19.73163945
    1   ->     9     0.00000440    28.23876481
    5   ->    10     0.00000431    20.47197098
    1   ->    10     0.00000205    29.71638732
    5   ->     8     0.00000186    14.66435445
    4   ->    11     0.00000136    24.90195081
    1   ->    11     0.00000058    32.70836462
    3   ->    10     0.00000049    22.54525483
    4   ->     8     0.00000041    16.10235697
    3   ->     9     0.00000024    21.06763232
    2   ->    11     0.00000010    28.53123329
    5   ->    12     0.00000008    33.70563588
    3   ->     7     0.00000006     8.57817222
    1   ->     8     0.00000003    23.90877078
    1   ->     7     0.00000001    15.74930471
    4   ->     7     0.00000001     7.94289090
    1   ->    12     0.00000001    42.95005222
    6   ->     7     0.00000001     5.83565370
    6   ->    10     0.00000001    19.80273631
    3   ->    12     0.00000000    35.77891973
    3   ->    11     0.00000000    25.53723213
    6   ->    11     0.00000000    22.79471361
    6   ->     9     0.00000000    18.32511380
    2   ->    12     0.00000000    38.77292089
    5   ->     7     0.00000000     6.50488837
    4   ->    12     0.00000000    35.14363841
    6   ->    12     0.00000000    33.03640121
    6   ->     8     0.00000000    13.99511978
 
  Energy       6     1.3996660599E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99999990    13.99511978
    5   ->     8     0.00045174    14.66435445
    6   ->     7     0.00001222     5.83565370
    4   ->    12     0.00000830    35.14363841
    1   ->    12     0.00000726    42.95005222
    4   ->     8     0.00000476    16.10235697
    3   ->    11     0.00000101    25.53723213
    4   ->    10     0.00000068    21.90997351
    4   ->     9     0.00000040    20.43235100
    5   ->     9     0.00000034    18.99434848
    4   ->     7     0.00000032     7.94289090
    6   ->     9     0.00000029    18.32511380
    4   ->    11     0.00000022    24.90195081
    2   ->     8     0.00000020    19.73163945
    3   ->     8     0.00000020    16.73763830
    1   ->    11     0.00000018    32.70836462
    6   ->    10     0.00000017    19.80273631
    3   ->     9     0.00000013    21.06763232
    1   ->     7     0.00000012    15.74930471
    6   ->    12     0.00000009    33.03640121
    5   ->    10     0.00000005    20.47197098
    2   ->     9     0.00000004    24.06163348
    2   ->    10     0.00000003    25.53925598
    3   ->    12     0.00000001    35.77891973
    2   ->    11     0.00000001    28.53123329
    1   ->     9     0.00000001    28.23876481
    6   ->    11     0.00000001    22.79471361
    5   ->     7     0.00000001     6.50488837
    2   ->    12     0.00000000    38.77292089
    3   ->    10     0.00000000    22.54525483
    5   ->    12     0.00000000    33.70563588
    2   ->     7     0.00000000    11.57217338
