 
  Energy       1     5.8895165314E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     7     0.99944257     5.82238605
    5   ->     7     0.03338462     7.11013803
    1   ->    12     0.00009327    47.64310099
    4   ->    12     0.00007370    37.33093051
    3   ->    11     0.00002890    26.31044209
    2   ->    12     0.00002656    41.04176961
    3   ->     7     0.00002045     9.74801100
    6   ->     8     0.00001312    15.85777302
    2   ->    10     0.00000874    28.75589637
    3   ->    10     0.00000788    26.03626089
    4   ->    10     0.00000495    25.04505728
    5   ->     8     0.00000394    17.14552500
    2   ->     9     0.00000247    25.86100756
    1   ->     9     0.00000114    32.46233894
    5   ->    11     0.00000078    23.67256912
    3   ->     8     0.00000071    19.78339797
    1   ->    11     0.00000059    35.63140896
    2   ->    11     0.00000058    29.03007757
    6   ->    11     0.00000054    22.38481714
    4   ->     7     0.00000036     8.75680739
    1   ->     8     0.00000014    29.10436483
    5   ->    10     0.00000010    23.39838792
    4   ->    11     0.00000006    25.31923848
    3   ->     9     0.00000006    23.14137208
    4   ->     8     0.00000005    18.79219436
    6   ->     9     0.00000004    19.21574713
    3   ->    12     0.00000004    38.32213412
    4   ->     9     0.00000001    22.15016847
    6   ->    12     0.00000001    34.39650917
    5   ->    12     0.00000001    35.68426115
    6   ->    10     0.00000000    22.11063594
    1   ->     7     0.00000000    19.06897786
    2   ->     8     0.00000000    22.50303345
    2   ->     7     0.00000000    12.46764648
    5   ->     9     0.00000000    20.50349911
    1   ->    10     0.00000000    35.35722775
 
  Energy       2     8.6143866025E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    5   ->     7     0.99955578     7.11013803
    6   ->     7     0.02216601     5.82238605
    3   ->     7     0.01262597     9.74801100
    4   ->     7     0.00989580     8.75680739
    6   ->     8     0.00822830    15.85777302
    1   ->    12     0.00621396    47.64310099
    4   ->    12     0.00524087    37.33093051
    2   ->    12     0.00190819    41.04176961
    4   ->     9     0.00106364    22.15016847
    3   ->    11     0.00093873    26.31044209
    3   ->    10     0.00024448    26.03626089
    2   ->    10     0.00019213    28.75589637
    4   ->    10     0.00016974    25.04505728
    6   ->    11     0.00007765    22.38481714
    1   ->    10     0.00005977    35.35722775
    6   ->    10     0.00003800    22.11063594
    2   ->     9     0.00003436    25.86100756
    4   ->    11     0.00002004    25.31923848
    4   ->     8     0.00001765    18.79219436
    1   ->    11     0.00001348    35.63140896
    1   ->     8     0.00000607    29.10436483
    5   ->    11     0.00000398    23.67256912
    1   ->     9     0.00000384    32.46233894
    6   ->    12     0.00000367    34.39650917
    6   ->     9     0.00000319    19.21574713
    5   ->     8     0.00000274    17.14552500
    3   ->     9     0.00000209    23.14137208
    5   ->    12     0.00000112    35.68426115
    2   ->    11     0.00000108    29.03007757
    3   ->     8     0.00000093    19.78339797
    2   ->     7     0.00000054    12.46764648
    3   ->    12     0.00000037    38.32213412
    1   ->     7     0.00000013    19.06897786
    5   ->     9     0.00000013    20.50349911
    5   ->    10     0.00000005    23.39838792
    2   ->     8     0.00000004    22.50303345
 
  Energy       3     8.7626900224E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    4   ->     7     0.99998231     8.75680739
    5   ->     7     0.00594449     7.11013803
    6   ->     7     0.00014099     5.82238605
    3   ->     7     0.00012552     9.74801100
    6   ->     9     0.00007148    19.21574713
    6   ->     8     0.00006559    15.85777302
    4   ->     8     0.00004570    18.79219436
    1   ->    12     0.00004558    47.64310099
    4   ->    12     0.00003655    37.33093051
    3   ->    11     0.00001650    26.31044209
    2   ->    12     0.00001541    41.04176961
    4   ->     9     0.00001089    22.15016847
    2   ->    11     0.00001075    29.03007757
    5   ->     9     0.00000782    20.50349911
    1   ->     8     0.00000517    29.10436483
    4   ->    11     0.00000475    25.31923848
    3   ->     9     0.00000452    23.14137208
    4   ->    10     0.00000417    25.04505728
    3   ->    10     0.00000347    26.03626089
    6   ->    10     0.00000186    22.11063594
    6   ->    11     0.00000176    22.38481714
    1   ->    10     0.00000066    35.35722775
    2   ->     9     0.00000065    25.86100756
    1   ->    11     0.00000046    35.63140896
    5   ->    10     0.00000034    23.39838792
    1   ->     7     0.00000015    19.06897786
    2   ->     8     0.00000015    22.50303345
    2   ->    10     0.00000005    28.75589637
    3   ->    12     0.00000005    38.32213412
    1   ->     9     0.00000004    32.46233894
    3   ->     8     0.00000001    19.78339797
    5   ->     8     0.00000001    17.14552500
    6   ->    12     0.00000000    34.39650917
    5   ->    11     0.00000000    23.67256912
    2   ->     7     0.00000000    12.46764648
    5   ->    12     0.00000000    35.68426115
 
  Energy       4     9.7728340171E+00 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    3   ->     7     0.99998092     9.74801100
    5   ->     7     0.00616385     7.11013803
    6   ->     8     0.00026614    15.85777302
    6   ->     7     0.00020725     5.82238605
    1   ->    12     0.00013407    47.64310099
    4   ->    12     0.00012584    37.33093051
    3   ->     8     0.00007718    19.78339797
    2   ->    12     0.00004917    41.04176961
    1   ->    10     0.00001880    35.35722775
    6   ->    11     0.00001208    22.38481714
    4   ->     7     0.00000499     8.75680739
    3   ->    11     0.00000485    26.31044209
    2   ->    10     0.00000448    28.75589637
    4   ->    11     0.00000431    25.31923848
    2   ->     9     0.00000358    25.86100756
    5   ->    11     0.00000356    23.67256912
    4   ->     9     0.00000282    22.15016847
    6   ->    10     0.00000268    22.11063594
    2   ->    11     0.00000202    29.03007757
    4   ->     8     0.00000110    18.79219436
    4   ->    10     0.00000109    25.04505728
    5   ->    10     0.00000078    23.39838792
    1   ->     9     0.00000060    32.46233894
    1   ->    11     0.00000055    35.63140896
    3   ->    10     0.00000042    26.03626089
    6   ->     9     0.00000018    19.21574713
    2   ->     7     0.00000014    12.46764648
    2   ->     8     0.00000014    22.50303345
    5   ->     8     0.00000007    17.14552500
    5   ->    12     0.00000000    35.68426115
    1   ->     8     0.00000000    29.10436483
    3   ->    12     0.00000000    38.32213412
    1   ->     7     0.00000000    19.06897786
    6   ->    12     0.00000000    34.39650917
    5   ->     9     0.00000000    20.50349911
    3   ->     9     0.00000000    23.14137208
 
  Energy       5     1.2471582439E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    2   ->     7     1.00000000    12.46764648
    6   ->     9     0.00002709    19.21574713
    2   ->     8     0.00002546    22.50303345
    3   ->    10     0.00001559    26.03626089
    6   ->    10     0.00000943    22.11063594
    4   ->    11     0.00000714    25.31923848
    3   ->     9     0.00000364    23.14137208
    5   ->     9     0.00000290    20.50349911
    3   ->    11     0.00000278    26.31044209
    1   ->     8     0.00000250    29.10436483
    1   ->    11     0.00000217    35.63140896
    6   ->    11     0.00000184    22.38481714
    4   ->    10     0.00000161    25.04505728
    5   ->    10     0.00000081    23.39838792
    1   ->    10     0.00000056    35.35722775
    2   ->    11     0.00000034    29.03007757
    3   ->     8     0.00000034    19.78339797
    4   ->     9     0.00000021    22.15016847
    6   ->     8     0.00000019    15.85777302
    5   ->     7     0.00000018     7.11013803
    5   ->    11     0.00000015    23.67256912
    1   ->     7     0.00000013    19.06897786
    3   ->    12     0.00000011    38.32213412
    4   ->     8     0.00000011    18.79219436
    4   ->    12     0.00000008    37.33093051
    3   ->     7     0.00000006     9.74801100
    2   ->    10     0.00000004    28.75589637
    6   ->    12     0.00000004    34.39650917
    1   ->     9     0.00000001    32.46233894
    2   ->     9     0.00000001    25.86100756
    6   ->     7     0.00000001     5.82238605
    2   ->    12     0.00000001    41.04176961
    1   ->    12     0.00000000    47.64310099
    5   ->    12     0.00000000    35.68426115
    5   ->     8     0.00000000    17.14552500
    4   ->     7     0.00000000     8.75680739
 
  Energy       6     1.6353434977E+01 eV  S
 
  Transition         Weight        KS [eV]
 =============================================
    6   ->     8     0.99972268    15.85777302
    5   ->     8     0.02233673    17.14552500
    4   ->     9     0.00699183    22.15016847
    5   ->     7     0.00145644     7.11013803
    6   ->    11     0.00119766    22.38481714
    2   ->     9     0.00112157    25.86100756
    4   ->    12     0.00090534    37.33093051
    1   ->    12     0.00081976    47.64310099
    3   ->     8     0.00037211    19.78339797
    6   ->    10     0.00032901    22.11063594
    2   ->    12     0.00032790    41.04176961
    1   ->    10     0.00018542    35.35722775
    3   ->    11     0.00010361    26.31044209
    2   ->    10     0.00010063    28.75589637
    5   ->    11     0.00007717    23.67256912
    2   ->    11     0.00007418    29.03007757
    1   ->     9     0.00007301    32.46233894
    4   ->     8     0.00005345    18.79219436
    6   ->     7     0.00005068     5.82238605
    4   ->    11     0.00003323    25.31923848
    3   ->     7     0.00003035     9.74801100
    5   ->    10     0.00002103    23.39838792
    3   ->    10     0.00002081    26.03626089
    4   ->    10     0.00001765    25.04505728
    6   ->     9     0.00001199    19.21574713
    1   ->    11     0.00000556    35.63140896
    6   ->    12     0.00000505    34.39650917
    5   ->     9     0.00000395    20.50349911
    2   ->     8     0.00000144    22.50303345
    5   ->    12     0.00000094    35.68426115
    1   ->     8     0.00000091    29.10436483
    3   ->    12     0.00000077    38.32213412
